fid,id_tramo,codigo,tipo_tramd,ancho_viad,electrifid,n_vias,situaciond,red_tentd,titulard,fuented,nombre,tipo_lined,fuente_ld,estado,rio_id,dist_to_river
102,-2147483648,33000295,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,25084,1627.87
105,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22899,421.49
108,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,950.77
110,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,210.58
114,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,56.49
120,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22896,1680.96
122,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17281,22.19
123,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,2845.17
124,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17434,873.75
125,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,30.2
129,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17434,1020.56
136,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,1318.9
138,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,17377,136.32
141,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,22900,1.09
142,-2147483648,33000280,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22900,1934.37
144,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,89.54
145,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,Elevado,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,399.93
148,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,Afectada,16882,20.24
150,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,En superficie,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,17763,29.75
161,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,419.39
162,-2147483648,33000270,Troncal,Ibérico,Sí,Doble,Elevado,Básica,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22893,1290.61
164,-2147483648,33000285,Troncal,Ibérico,Sí,Doble,En superficie,Global,Administración General del Estado,Comunidad Valenciana,300 - MADRID CHAMARTÍN-CLARA CAMPOAMOR-VALENCIA-ESTACIO DEL NORD,Tren,ADIF,No afectada,22996,1030.13
